City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Hokitika,NZ,-42.7167,170.9667,59.61,82,99,5.19,overcast clouds
214,Mitu,CO,1.1983,-70.1733,79.9,77,95,2.64,light rain
215,Chuy,UY,-33.6971,-53.4616,56.07,92,100,16.11,moderate rain
216,Port Keats,AU,-14.25,129.55,83.64,71,100,7.61,overcast clouds
217,Nantucket,US,41.2835,-70.0995,55.51,89,0,5.75,clear sky
218,Mocuba,MZ,-16.8392,36.9856,72.32,87,0,4.38,clear sky
219,Vilcun,CL,-38.65,-72.2333,54.34,51,6,7.56,clear sky
220,Kapuskasing,CA,49.4169,-82.4331,57.29,58,40,9.22,scattered clouds
221,Paracuru,BR,-3.41,-39.0306,81.1,72,10,11.03,clear sky
222,Takaka,NZ,-40.85,172.8,64.56,60,6,5.39,clear sky
223,Tiksi,RU,71.6872,128.8694,8.87,90,83,8.19,broken clouds
224,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,10.36,scattered clouds
225,Abu Dhabi,AE,24.4667,54.3667,80.62,74,28,3.44,scattered clouds
226,Biak,ID,-0.9131,122.8766,77.13,78,99,2.73,overcast clouds
227,Bridlington,GB,54.0831,-0.1919,54.01,89,31,5.99,scattered clouds
228,Iskateley,RU,67.6803,53.1512,33.96,94,100,13.06,overcast clouds
229,Slonim,BY,53.0867,25.3219,45.93,95,68,9.19,broken clouds
230,Kavieng,PG,-2.5744,150.7967,83.71,67,33,8.23,scattered clouds
231,Sungaipenuh,ID,-2.0833,101.3833,64.65,96,100,1.41,overcast clouds
232,Nayoro,JP,44.3506,142.4578,45.03,84,71,5.46,broken clouds
233,Sobolevo,RU,54.4299,31.8996,35.53,64,64,15.12,broken clouds
234,Yaan,NG,7.3833,8.5667,78.28,45,84,0.76,broken clouds
235,Kununurra,AU,-15.7667,128.7333,82.38,74,47,0.0,scattered clouds
236,Ippy,CF,6.2679,21.2247,71.96,83,87,2.64,light rain
237,Baherden,TM,38.4362,57.4316,57.02,67,0,7.76,clear sky
238,Cururupu,BR,-1.8283,-44.8683,77.13,82,90,4.29,overcast clouds
239,Mayo,US,38.8876,-76.5119,60.17,81,0,3.44,clear sky
240,Upernavik,GL,72.7868,-56.1549,14.94,66,1,14.07,clear sky
241,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,87,0,10.36,clear sky
242,Saint George,US,37.1041,-113.5841,73.44,18,0,4.61,clear sky
243,Bakel,SN,14.905,-12.4568,85.62,20,89,7.54,overcast clouds
244,Ambilobe,MG,-13.2,49.05,71.47,77,39,5.35,scattered clouds
245,Mapiripan,CO,2.8892,-72.1256,78.84,87,96,4.52,overcast clouds
246,Jumla,NP,29.2747,82.1838,43.45,56,0,4.99,clear sky
247,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,12.66,scattered clouds
248,Saint-Ambroise,CA,48.5501,-71.3324,57.02,66,20,4.65,few clouds
249,Labuhan,ID,-6.8844,112.2051,76.51,77,72,10.51,broken clouds
250,Del Rio,US,29.3627,-100.8968,77.02,35,0,8.05,clear sky
251,Barreirinha,BR,-2.7933,-57.07,88.43,44,98,1.92,overcast clouds
252,Mbulu,TZ,-3.85,35.5333,60.13,53,90,10.2,overcast clouds
253,Ostrovnoy,RU,68.0531,39.5131,39.25,72,100,21.74,overcast clouds
254,Mpongwe,ZM,-13.5091,28.155,73.33,54,100,8.08,light rain
255,Talnakh,RU,69.4865,88.3972,22.21,94,100,14.14,light snow
256,Toora-Khem,RU,52.4675,96.11,13.19,85,14,1.86,few clouds
257,Pisco,PE,-13.7,-76.2167,66.25,72,8,5.75,haze
258,Aklavik,CA,68.2191,-135.0107,2.37,92,32,9.1,scattered clouds
259,Ust-Nera,RU,64.5667,143.2,-13.47,99,84,2.71,broken clouds
260,Kamsack,CA,51.5667,-101.9009,52.75,40,70,13.24,broken clouds
261,Kodiak,US,57.79,-152.4072,31.51,51,100,17.27,overcast clouds
262,Sangmelima,CM,2.9333,11.9833,69.28,94,99,2.86,overcast clouds
263,Purpe,RU,64.4803,76.6897,22.69,94,68,15.39,broken clouds
264,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.68,65,76,1.79,broken clouds
265,San Lorenzo,PY,-25.3333,-57.5333,83.59,70,40,2.3,scattered clouds
266,Itarema,BR,-2.9248,-39.9167,79.38,68,2,14.29,clear sky
267,Media Luna,CU,20.1419,-77.435,83.19,75,58,8.97,broken clouds
268,Kungurtug,RU,50.5994,97.5228,6.6,90,21,1.68,few clouds
269,Xintai,CN,35.9006,117.7519,54.57,57,71,0.67,broken clouds
270,Hovd,MN,48.0056,91.6419,24.4,43,98,1.23,overcast clouds
271,Lieksa,FI,63.3167,30.0167,32.56,71,6,16.96,clear sky
272,Isla Mujeres,MX,21.2311,-86.731,84.25,68,0,8.16,clear sky
273,Maldonado,UY,-34.6667,-54.9167,52.99,92,100,19.51,overcast clouds
274,Leningradskiy,RU,69.3833,178.4167,7.5,88,100,13.67,overcast clouds
275,Chany,RU,55.3121,76.7647,24.57,87,86,8.16,overcast clouds
276,Baykit,RU,61.67,96.37,21.51,87,100,3.47,overcast clouds
277,Grindavik,IS,63.8424,-22.4338,42.75,100,100,10.36,overcast clouds
278,Barahona,DO,18.2085,-71.1008,80.42,89,75,11.5,broken clouds
279,Geraldton,AU,-28.7667,114.6,45.01,93,61,5.75,broken clouds
280,Atbasar,KZ,51.8,68.3333,27.55,96,78,6.35,broken clouds
281,Kudahuvadhoo,MV,2.6708,72.8944,80.76,76,16,9.06,few clouds
282,Natal,BR,-5.795,-35.2094,77.65,78,0,6.91,clear sky
283,Staryy Nadym,RU,65.6118,72.6842,23.83,90,95,16.17,overcast clouds
284,Pevek,RU,69.7008,170.3133,6.55,95,100,5.86,overcast clouds
285,Ternate,ID,0.8,127.4,81.23,79,100,4.32,overcast clouds
286,Hermosillo,MX,29.0667,-110.9667,84.24,19,100,5.99,overcast clouds
287,Kahului,US,20.8947,-156.47,86.02,65,40,17.27,scattered clouds
288,Mahabad,IR,36.7631,45.7222,49.59,29,17,7.67,few clouds
289,Dolhesti,RO,46.8667,27.9,52.41,82,96,6.11,overcast clouds
290,Wajir,KE,1.7471,40.0573,76.75,74,71,12.62,light rain
291,Hasaki,JP,35.7333,140.8333,50.22,58,0,11.36,clear sky
292,Bischofswerda,DE,51.1277,14.1797,59.74,64,25,5.75,scattered clouds
293,Inuvik,CA,68.3499,-133.7218,9.36,72,20,10.36,few clouds
294,San Cristobal,VE,7.7669,-72.225,75.38,76,99,0.56,overcast clouds
295,Bonthe,SL,7.5264,-12.505,78.53,84,22,5.66,moderate rain
296,Auka,HN,14.9333,-83.8333,85.89,68,42,7.23,scattered clouds
297,Beringovskiy,RU,63.05,179.3167,16.39,56,6,4.72,clear sky
298,Henties Bay,NA,-22.116,14.2845,60.08,82,80,5.32,broken clouds
299,Gunjur,GM,13.2019,-16.7339,78.87,94,0,0.0,clear sky
300,Leeton,AU,-34.5667,146.4,68.9,86,26,18.21,scattered clouds
301,Poddorye,RU,57.4695,31.1156,35.24,65,10,12.57,clear sky
302,Rathkeale,IE,52.5244,-8.9381,56.64,88,20,14.97,few clouds
303,Muri,IN,23.3667,85.8667,65.21,71,1,3.74,clear sky
304,Kutum,SD,14.2,24.6667,72.16,30,26,9.66,scattered clouds
305,Hailar,CN,49.2,119.7,33.22,96,100,11.9,light snow
306,Clyde River,CA,70.4692,-68.5914,8.83,85,100,2.3,overcast clouds
307,Seymchan,RU,62.8833,152.4333,-15.07,99,30,1.01,scattered clouds
308,Honggang,CN,46.4667,124.8667,45.57,81,99,14.2,overcast clouds
309,Carnarvon,AU,-24.8667,113.6333,59.34,61,0,23.73,clear sky
310,Savannah Bight,HN,16.45,-85.85,82.85,66,58,9.08,broken clouds
311,Beira,MZ,-19.8436,34.8389,76.12,83,0,7.61,clear sky
312,Asfi,MA,32.2994,-9.2372,74.55,35,6,6.06,clear sky
313,Pitimbu,BR,-7.4706,-34.8086,77.59,74,74,11.25,broken clouds
314,Port Maria,JM,18.3685,-76.8895,82.36,93,23,4.21,few clouds
315,Axim,GH,4.8699,-2.2405,77.94,85,19,5.61,light rain
316,Astara,AZ,38.5,48.6667,46.38,76,13,3.18,few clouds
317,Huarmey,PE,-10.0681,-78.1522,64.49,81,29,9.57,scattered clouds
318,Road Town,VG,18.4167,-64.6167,80.64,94,20,14.97,light rain
319,Ostrozac,BA,44.9086,15.9403,57.27,63,29,3.22,scattered clouds
320,Banjarmasin,ID,-3.3244,114.591,75.34,88,100,1.88,overcast clouds
321,Porto Torres,IT,40.835,8.3972,55.58,68,100,5.3,overcast clouds
322,Strezhevoy,RU,60.7333,77.5889,23.18,96,91,7.05,overcast clouds
323,Bail Hongal,IN,15.8167,74.8667,64.54,67,6,6.87,clear sky
324,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,44,75,8.99,broken clouds
325,Luderitz,NA,-26.6481,15.1594,61.93,66,76,18.7,broken clouds
326,Ouesso,CG,1.6136,16.0517,71.49,91,93,1.19,overcast clouds
327,Morros,BR,-9.4467,-46.3003,87.87,34,97,0.94,overcast clouds
328,Caravelas,BR,-17.7125,-39.2481,76.32,83,91,10.58,overcast clouds
329,Tangier,MA,35.7806,-5.8137,69.15,83,83,11.5,broken clouds
330,Aripuana,BR,-9.1667,-60.6333,78.4,76,97,2.33,overcast clouds
331,Port Blair,IN,11.6667,92.75,78.84,94,40,2.3,mist
332,Souillac,MU,-20.5167,57.5167,71.98,83,40,5.75,scattered clouds
333,Pokhara,NP,28.2333,83.9833,61.48,58,1,5.7,clear sky
334,Chernyshevskiy,RU,63.0128,112.4714,9.45,98,96,2.1,overcast clouds
335,Opuwo,NA,-18.0607,13.84,73.33,36,65,2.8,broken clouds
336,Vardo,NO,70.3705,31.1107,37.38,75,100,16.11,overcast clouds
337,Portland,US,45.5234,-122.6762,58.93,81,100,8.01,overcast clouds
338,Obo,CF,5.3998,26.4869,68.34,95,100,1.54,light rain
